,County,State,Outbreak Date,Flock Type,Flock Size
109,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290
110,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30
111,Stanislaus,California,12-17-2024,Commercial Turkey Meat Bird,33100
112,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,428600
113,Merced,California,12-16-2024,Commercial Table Egg Pullets,424700
114,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30
115,Merced,California,12-16-2024,Commercial Turkey Meat Bird,53100
116,Butte,California,12-16-2022,WOAH Non-Poultry,20
117,Flathead,Montana,12-16-2022,WOAH Non-Poultry,0
118,Duval,Florida,12-16-2022,WOAH Non-Poultry,10
119,Weld,Colorado,12-16-2022,Commercial Table Egg Layer,1291000
120,Latah,Idaho,12-15-2023,WOAH Poultry,200
121,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry,90
122,Polk,Oregon,12-15-2022,WOAH Non-Poultry,20
123,Tulare,California,12-14-2024,Commercial Duck Meat Bird,41100
124,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40
125,Merced,California,12-14-2024,Commercial Duck Meat Bird,119000
126,Monterey,California,12-14-2024,Commercial Duck Breeder,13700
127,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180
128,Darke,Ohio,12-14-2023,Commercial Table Egg Layer,522300
129,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30
130,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry,40
131,Weakley,Tennessee,12-14-2022,WOAH Poultry,37900
132,Knox,Nebraska,12-14-2022,WOAH Poultry,160
133,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer,1332100
134,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,1015500
135,Spink,South Dakota,12-14-2022,WOAH Poultry,280
136,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens,13200
137,Tulare,California,12-13-2024,Commercial Broiler Production,514500
138,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500
139,Merced,California,12-13-2023,Commercial Broiler Production,183100
140,San Joaquin,California,12-13-2023,Commercial Duck Breeder,6000
141,Merced,California,12-13-2023,Commercial Table Egg Layer,1358600
142,Weld,Colorado,12-13-2023,WOAH Non-Poultry,30
143,Rice,Kansas,12-13-2023,Commercial Table Egg Layer,700000
144,Mcpherson,Kansas,12-13-2023,WOAH Poultry,20000
145,Columbia,Oregon,12-13-2022,WOAH Non-Poultry,100
146,Linn,Oregon,12-13-2022,WOAH Non-Poultry,20
147,Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,11400
148,Craighead,Arkansas,12-12-2024,WOAH Non-Poultry,10
149,Pope,Arkansas,12-12-2024,WOAH Non-Poultry,40
150,Sac,Iowa,12-12-2024,Commercial Turkey Meat Bird,45200
151,Kingsbury,South Dakota,12-12-2024,Commercial Turkey Meat Bird,39300
152,Lake,South Dakota,12-12-2023,Commercial Turkey Meat Bird,76000
153,Dutchess,New York,12-12-2023,WOAH Poultry,4200
154,Etowah,Alabama,12-12-2023,WOAH Non-Poultry,80
155,St. Louis,Missouri,12-12-2023,WOAH Non-Poultry,20
156,Cherokee,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
157,Hanson,South Dakota,12-12-2022,Commercial Turkey Meat Bird,23900
158,Sac,Iowa,12-12-2022,Commercial Turkey Meat Bird,50000
159,Buena Vista,Iowa,12-12-2022,Commercial Turkey Meat Bird,51200
160,Wadena,Minnesota,12-12-2022,Commercial Turkey Meat Bird,298100
161,Ida,Iowa,12-12-2022,Commercial Turkey Meat Bird,90000
162,Palo Alto,Iowa,12-11-2024,Commercial Turkey Meat Bird,31100
163,Brule,South Dakota,12-11-2024,Commercial Turkey Meat Bird,50900
164,Dodge,Nebraska,12-11-2024,WOAH Non-Poultry,10
165,Adair,Oklahoma,12-11-2024,WOAH Poultry,40000
166,Sioux,Iowa,12-11-2024,Commercial Table Egg Layer,1575700
167,Olmsted,Minnesota,12-11-2023,Commercial Turkey Breeder Hens,14400
168,Jewell,Kansas,12-10-2024,WOAH Non-Poultry,40
169,Stanislaus,California,12-10-2024,Commercial Duck Breeder,81800
